map_id,map_pretty_name,map_pretty_name_long
smolensk_warfare_dusk,Smolensk,Smolensk
smolensk_warfare_night,Smolensk,Smolensk
tobruk_offensivebritish_day,Tobruk,Tobruk
tobruk_offensivebritish_dusk,Tobruk,Tobruk
tobruk_offensivebritish_morning,Tobruk,Tobruk
tobruk_offensiveger_day,Tobruk,Tobruk
tobruk_offensiveger_dusk,Tobruk,Tobruk
tobruk_offensiveger_morning,Tobruk,Tobruk
tobruk_skirmish_day,Tobruk,Tobruk
tobruk_skirmish_dusk,Tobruk,Tobruk
tobruk_skirmish_morning,Tobruk,Tobruk
tobruk_warfare_day,Tobruk,Tobruk
tobruk_warfare_dusk,Tobruk,Tobruk
tobruk_warfare_morning,Tobruk,Tobruk
utahbeach_offensive_ger,Utah Beach,Utah Beach
utahbeach_offensive_us,Utah Beach,Utah Beach
utahbeach_warfare,Utah Beach,Utah Beach
utahbeach_warfare_night,Utah Beach,Utah Beach
